parameter,mean,lwr,upr
clearance.time.NonVariant,6.758425549762783,5.9371358776034855,7.580026310176323
clearance.time.Variant,7.002113087217355,5.713010061665066,8.358733794447435
peak.ct.NonVariant,20.819560242863577,19.479071465693167,22.13210425199268
peak.ct.Variant,20.76306608332005,18.66551007664849,22.798116311822362
peak.geml.NonVariant,7.971171431768781,7.6075570553568586,8.342527353861948
peak.geml.Variant,7.9868220221112445,7.423051577343608,8.567908457347066
proliferation.time.NonVariant,4.139721748628217,3.4056977398711723,4.953436315008226
proliferation.time.Variant,3.955865017269776,3.0175933337149887,5.0224596529281555
total.duration.NonVariant,10.898147298390999,9.891884566761531,11.93515275960896
total.duration.Variant,10.95797810448713,9.405927157403545,12.590937291942348
