parameter,mean,lwr,upr
clearance.time.NonVariant,7.05,6.33,7.77
clearance.time.Variant,6.28,5.22,7.44
peak.ct.NonVariant,20.13,19.13,21.11
peak.ct.Variant,21.09,19.28,22.84
peak.geml.NonVariant,8.16,7.89,8.44
peak.geml.Variant,7.9,7.41,8.4
proliferation.time.NonVariant,3.67,3.13,4.27
proliferation.time.Variant,3.56,2.72,4.6
total.duration.NonVariant,10.71,9.88,11.61
total.duration.Variant,9.84,8.56,11.27
