parameter,mean,lwr,upr
clearance.time.NonVariant,7.38086720623313,6.683654262874063,8.085274967528642
clearance.time.Variant,6.793414100053553,5.421301101974705,8.291457858325595
peak.ct.NonVariant,20.771316261522838,19.68825399045228,21.804123882165932
peak.ct.Variant,20.4157756291897,18.217952099439348,22.611225341303296
peak.geml.NonVariant,7.9845364732979265,7.698417534563978,8.28457746969233
peak.geml.Variant,8.083031978527266,7.474826026984654,8.691895549329656
proliferation.time.NonVariant,4.091194851836304,3.4710358112014137,4.775758968105512
proliferation.time.Variant,5.137545558254314,3.8058749694641145,6.5297523132619295
total.duration.NonVariant,11.472062058069435,10.619005014707156,12.38090711261634
total.duration.Variant,11.930959658307867,10.176364491672997,13.846731281640642
