parameter,mean,lwr,upr
clearance.time.NonVariant,7.26,6.56,7.98
clearance.time.Variant,6.51,5.56,7.57
peak.ct.NonVariant,20.5,19.55,21.42
peak.ct.Variant,21,19.63,22.32
peak.geml.NonVariant,8.06,7.81,8.32
peak.geml.Variant,7.92,7.55,8.3
proliferation.time.NonVariant,3.5,2.98,4.07
proliferation.time.Variant,3.54,2.8,4.38
total.duration.NonVariant,10.76,9.93,11.6
total.duration.Variant,10.05,8.91,11.28
