parameter,mean,lwr,upr
clearance.time.NonVariant,7.3,6.19,8.46
clearance.time.Variant,8.15,6.31,10.1
peak.ct.NonVariant,20.19,18.41,21.92
peak.ct.Variant,20.98,18.38,23.56
peak.geml.NonVariant,8.14,7.67,8.64
peak.geml.Variant,7.93,7.21,8.65
proliferation.time.NonVariant,4.48,3.5,5.69
proliferation.time.Variant,5.47,4.01,7.1
total.duration.NonVariant,11.79,10.44,13.25
total.duration.Variant,13.62,11.31,16.14
