parameter,mean,lwr,upr
clearance.time.NonVariant,6.7,6.08,7.38
clearance.time.Variant,8.09,6.33,10
peak.ct.NonVariant,20.28,19.34,21.2
peak.ct.Variant,20.92,18.56,23.28
peak.geml.NonVariant,8.12,7.87,8.38
peak.geml.Variant,7.94,7.29,8.6
proliferation.time.NonVariant,3.35,2.85,3.91
proliferation.time.Variant,5.37,4,6.86
total.duration.NonVariant,10.05,9.31,10.83
total.duration.Variant,13.46,11.29,15.78
