parameter,mean,lwr,upr
clearance.time.NonVariant,7.183606465105669,6.483051757699695,7.917988190422443
clearance.time.Variant,7.242583405516943,5.9466517957797596,8.65192722215707
peak.ct.NonVariant,20.634914751035296,19.57791633081054,21.681473529355387
peak.ct.Variant,20.850665112525505,18.818700623248752,22.84196395302978
peak.geml.NonVariant,8.022323815918522,7.73239539073011,8.315144337565966
peak.geml.Variant,7.962554442390268,7.410904454958472,8.52547004409248
proliferation.time.NonVariant,4.1259978103889585,3.509111898518343,4.808757099387725
proliferation.time.Variant,4.0738195501142735,3.103847013400089,5.207959288558653
total.duration.NonVariant,11.309604275494628,10.435407882990472,12.247357051685668
total.duration.Variant,11.316402955631217,9.761547114565198,13.021516325704791
