parameter,mean,lwr,upr
clearance.time.NonVariant,6.67,5.97,7.41
clearance.time.Variant,7.65,6.78,8.57
peak.ct.NonVariant,20.54,19.53,21.53
peak.ct.Variant,20.86,19.67,22.08
peak.geml.NonVariant,8.05,7.77,8.33
peak.geml.Variant,7.96,7.62,8.29
proliferation.time.NonVariant,3.75,3.2,4.37
proliferation.time.Variant,3.14,2.56,3.82
total.duration.NonVariant,10.42,9.6,11.31
total.duration.Variant,10.79,9.77,11.85
