parameter,mean,lwr,upr
clearance.time.NonVariant,6.961167349339568,6.282437267487223,7.655099359063822
clearance.time.Variant,7.872180377818094,6.2114647734523825,9.629311326549711
peak.ct.NonVariant,20.684642260828436,19.64812757317387,21.721896368873885
peak.ct.Variant,20.494715151181428,18.12407749222824,22.79318661766297
peak.geml.NonVariant,8.008547792152319,7.7211970419645946,8.295693700534766
peak.geml.Variant,8.06116334413205,7.424417251679251,8.717901653905628
proliferation.time.NonVariant,3.9629263593637485,3.3666639750706406,4.6217065447604435
proliferation.time.Variant,4.42789438039076,3.458489666740347,5.57797361183716
total.duration.NonVariant,10.924093708703316,10.060919403926395,11.829760495757721
total.duration.Variant,12.300074758208854,10.422363714678129,14.256536646752199
