parameter,mean,lwr,upr
clearance.time.NonVariant,7.33,6.21,8.49
clearance.time.Variant,6.32,5.27,7.52
peak.ct.NonVariant,20.11,18.39,21.84
peak.ct.Variant,21.07,19.14,22.94
peak.geml.NonVariant,8.17,7.69,8.64
peak.geml.Variant,7.9,7.38,8.44
proliferation.time.NonVariant,4.29,3.38,5.36
proliferation.time.Variant,3.5,2.62,4.62
total.duration.NonVariant,11.61,10.3,13.01
total.duration.Variant,9.82,8.5,11.3
