parameter,mean,lwr,upr
clearance.time.NonVariant,6.893791187897751,6.096999471813744,7.67853125203016
clearance.time.Variant,8.310854298452233,6.622134128068219,10.025097706816279
peak.ct.NonVariant,20.86301102029308,19.48999989381443,22.146384845645425
peak.ct.Variant,20.569317862391884,18.170550560269092,22.989252132759713
peak.geml.NonVariant,7.9591342526496405,7.603600899129166,8.339499848842049
peak.geml.Variant,8.040496137450402,7.37010117579004,8.705027208905623
proliferation.time.NonVariant,4.371119779323387,3.594902447985471,5.252728572116993
proliferation.time.Variant,4.903704852313247,3.7113821847200814,6.239247548441869
total.duration.NonVariant,11.26491096722114,10.234819655454427,12.369003199274731
total.duration.Variant,13.21455915076548,11.21056182797248,15.328723816957094
