parameter,mean,lwr,upr
clearance.time.NonVariant,7.029985820259837,6.362534192046844,7.687466497206714
clearance.time.Variant,8.245369551634507,6.507726255903883,9.9569811051285
peak.ct.NonVariant,20.695864579728532,19.651468568195497,21.713883797546217
peak.ct.Variant,20.595911812999677,18.341361291654398,22.83282243645712
peak.geml.NonVariant,8.005438870500646,7.723416766489258,8.29476814389595
peak.geml.Variant,8.033128809041354,7.413436931450618,8.65770747170432
proliferation.time.NonVariant,3.961815366877232,3.357977428869411,4.64050940429261
proliferation.time.Variant,4.807383532617778,3.643252959247212,6.12705377642127
total.duration.NonVariant,10.991801187137069,10.144724204538713,11.874909490354366
total.duration.Variant,13.052753084252286,11.044022708170775,15.141945849634752
