parameter,mean,lwr,upr
clearance.time.NonVariant,6.865304121245256,6.042604545805878,7.659583396673455
clearance.time.Variant,7.267079344444791,5.977879094947452,8.57974461403448
peak.ct.NonVariant,20.803716645057097,19.47247486412202,22.15989425852816
peak.ct.Variant,20.885137217625648,18.758402424004636,23.027644182897316
peak.geml.NonVariant,7.975560587405815,7.599858383292074,8.344354811951009
peak.geml.Variant,7.953004626984146,7.359465417085674,8.542174468450378
proliferation.time.NonVariant,4.165453603639415,3.435478418936281,4.975866924749461
proliferation.time.Variant,3.964961454703109,2.9614920271763054,5.146192535822683
total.duration.NonVariant,11.03075772488467,10.023170481169993,12.078582227941645
total.duration.Variant,11.2320407991479,9.681349277777949,12.910523677053034
