parameter,mean,lwr,upr
clearance.time.NonVariant,6.842452475693264,6.045346958702912,7.656296801678024
clearance.time.Variant,7.905005889423464,6.935061693009884,8.899680861039814
peak.ct.NonVariant,20.253030566093763,18.962349964332713,21.51113236924221
peak.ct.Variant,21.260226041157548,19.833968042086923,22.689442832213498
peak.geml.NonVariant,8.128117281740082,7.779585042491147,8.485674833252355
peak.geml.Variant,7.84909368173658,7.453157417030241,8.244210271601395
proliferation.time.NonVariant,4.688603461160717,3.933442016753529,5.498451574339533
proliferation.time.Variant,3.650983577220555,2.8859478206600295,4.5358015426406695
total.duration.NonVariant,11.531055936853981,10.532241309636756,12.567148867641238
total.duration.Variant,11.55598946664402,10.390782488034095,12.792728936297404
