parameter,mean,lwr,upr
clearance.time.NonVariant,6.816121934060997,6.022472930734106,7.645957204637553
clearance.time.Variant,7.969345767391671,6.3021113067008345,9.67713978472203
peak.ct.NonVariant,20.85334831135995,19.534302501609357,22.184674450693493
peak.ct.Variant,20.442978075666655,17.97357221944623,22.791402608869465
peak.geml.NonVariant,7.96181111518433,7.592993520812114,8.327226686955873
peak.geml.Variant,8.075496078364072,7.4249114760560735,8.759596165121026
proliferation.time.NonVariant,4.3575015691184715,3.582027321806282,5.232380114601093
proliferation.time.Variant,4.63301947170587,3.6263462089067993,5.764778271130399
total.duration.NonVariant,11.173623503179469,10.165923578545211,12.270336136539374
total.duration.Variant,12.60236523909754,10.71923975354636,14.56372128071311
